[2024-05-27 11:14:52] INFO (traceId:6654955C9CA81|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: GET /backoffice/ :: Ctx:[] 
[2024-05-27 12:26:31] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php:L75} :: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls :: Ctx:{"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php","line":75} 
[2024-05-27 12:26:33] DEBUG (traceId:6654A626D05DC|customerId:) {:L} :: Returning status 200 :: Ctx:{"controller_class":"AdminDashboardController"} 
[2024-05-27 12:26:33] INFO (traceId:6654A629B4A01|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: GET /backoffice/index.php?controller=AdminDashboard&token=d7d8aba5957e24591d9861fd09565048&ajax=true&action=refreshDashboard&module=dashactivity&dashboard_use_push=0&_=1716823593590 :: Ctx:[] 
[2024-05-27 12:26:33] DEBUG (traceId:6654A629B4A01|customerId:) {:L} :: Loading controller AdminDashboardController :: Ctx:{"controller_class":"AdminDashboardController"} 
[2024-05-27 12:26:33] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2974} :: E_DEPRECATED: Function create_function() is deprecated :: Ctx:{"code":8192,"message":"Function create_function() is deprecated","file":"/var/www/bbva-uat/classes/Tools.php","line":2117} 
[2024-05-27 12:26:33] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2785} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/controller/AdminController.php","line":564} 
[2024-05-27 12:26:33] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php:L75} :: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls :: Ctx:{"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php","line":75} 
[2024-05-27 12:26:33] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L906} :: E_DEPRECATED: Function create_function() is deprecated :: Ctx:{"code":8192,"message":"Function create_function() is deprecated","file":"/var/www/bbva-uat/classes/Tools.php","line":2117} 
[2024-05-27 12:26:33] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L910} :: E_DEPRECATED: Function create_function() is deprecated :: Ctx:{"code":8192,"message":"Function create_function() is deprecated","file":"/var/www/bbva-uat/classes/Tools.php","line":2117} 
[2024-05-27 12:26:33] INFO (traceId:6654A629C8FC8|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: GET /backoffice/index.php?controller=AdminDashboard&token=d7d8aba5957e24591d9861fd09565048&ajax=true&action=getBlogRss :: Ctx:[] 
[2024-05-27 12:26:33] DEBUG (traceId:6654A629C8FC8|customerId:) {:L} :: Loading controller AdminDashboardController :: Ctx:{"controller_class":"AdminDashboardController"} 
[2024-05-27 12:26:34] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2974} :: E_DEPRECATED: Function create_function() is deprecated :: Ctx:{"code":8192,"message":"Function create_function() is deprecated","file":"/var/www/bbva-uat/classes/Tools.php","line":2117} 
[2024-05-27 12:26:34] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2785} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/controller/AdminController.php","line":564} 
[2024-05-27 12:26:34] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php:L75} :: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls :: Ctx:{"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php","line":75} 
[2024-05-27 12:26:34] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L906} :: E_DEPRECATED: Function create_function() is deprecated :: Ctx:{"code":8192,"message":"Function create_function() is deprecated","file":"/var/www/bbva-uat/classes/Tools.php","line":2117} 
[2024-05-27 12:26:34] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L910} :: E_DEPRECATED: Function create_function() is deprecated :: Ctx:{"code":8192,"message":"Function create_function() is deprecated","file":"/var/www/bbva-uat/classes/Tools.php","line":2117} 
[2024-05-27 12:26:34] INFO (traceId:6654A629E8E0B|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: GET /backoffice/index.php?controller=AdminDashboard&token=d7d8aba5957e24591d9861fd09565048&ajax=true&action=refreshDashboard&module=dashtrends&dashboard_use_push=0&_=1716823593591 :: Ctx:[] 
[2024-05-27 12:26:34] DEBUG (traceId:6654A629E8E0B|customerId:) {:L} :: Loading controller AdminDashboardController :: Ctx:{"controller_class":"AdminDashboardController"} 
[2024-05-27 12:26:34] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2974} :: E_DEPRECATED: Function create_function() is deprecated :: Ctx:{"code":8192,"message":"Function create_function() is deprecated","file":"/var/www/bbva-uat/classes/Tools.php","line":2117} 
[2024-05-27 12:26:34] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2785} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/controller/AdminController.php","line":564} 
[2024-05-27 12:26:34] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php:L75} :: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls :: Ctx:{"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php","line":75} 
[2024-05-27 12:26:34] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L906} :: E_DEPRECATED: Function create_function() is deprecated :: Ctx:{"code":8192,"message":"Function create_function() is deprecated","file":"/var/www/bbva-uat/classes/Tools.php","line":2117} 
[2024-05-27 12:26:34] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L910} :: E_DEPRECATED: Function create_function() is deprecated :: Ctx:{"code":8192,"message":"Function create_function() is deprecated","file":"/var/www/bbva-uat/classes/Tools.php","line":2117} 
[2024-05-27 12:26:34] INFO (traceId:6654A62A3993D|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: GET /backoffice/index.php?controller=AdminDashboard&token=d7d8aba5957e24591d9861fd09565048&ajax=true&action=refreshDashboard&module=dashgoals&dashboard_use_push=0&_=1716823593592 :: Ctx:[] 
[2024-05-27 12:26:34] DEBUG (traceId:6654A62A3993D|customerId:) {:L} :: Loading controller AdminDashboardController :: Ctx:{"controller_class":"AdminDashboardController"} 
[2024-05-27 12:26:34] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2974} :: E_DEPRECATED: Function create_function() is deprecated :: Ctx:{"code":8192,"message":"Function create_function() is deprecated","file":"/var/www/bbva-uat/classes/Tools.php","line":2117} 
[2024-05-27 12:26:34] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2785} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/controller/AdminController.php","line":564} 
[2024-05-27 12:26:34] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php:L75} :: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls :: Ctx:{"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php","line":75} 
[2024-05-27 12:26:34] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L906} :: E_DEPRECATED: Function create_function() is deprecated :: Ctx:{"code":8192,"message":"Function create_function() is deprecated","file":"/var/www/bbva-uat/classes/Tools.php","line":2117} 
[2024-05-27 12:26:34] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L910} :: E_DEPRECATED: Function create_function() is deprecated :: Ctx:{"code":8192,"message":"Function create_function() is deprecated","file":"/var/www/bbva-uat/classes/Tools.php","line":2117} 
[2024-05-27 12:26:34] INFO (traceId:6654A62A6D671|customerId:) {/var/www/bbva-uat/classes/Dispatcher.php:L214} :: GET /backoffice/index.php?controller=AdminDashboard&token=d7d8aba5957e24591d9861fd09565048&ajax=true&action=refreshDashboard&module=dashproducts&dashboard_use_push=0&_=1716823593593 :: Ctx:[] 
[2024-05-27 12:26:34] DEBUG (traceId:6654A62A6D671|customerId:) {:L} :: Loading controller AdminDashboardController :: Ctx:{"controller_class":"AdminDashboardController"} 
[2024-05-27 12:26:34] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2974} :: E_DEPRECATED: Function create_function() is deprecated :: Ctx:{"code":8192,"message":"Function create_function() is deprecated","file":"/var/www/bbva-uat/classes/Tools.php","line":2117} 
[2024-05-27 12:26:34] WARNING (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L2785} :: E_WARNING: count(): Parameter must be an array or an object that implements Countable :: Ctx:{"code":2,"message":"count(): Parameter must be an array or an object that implements Countable","file":"/var/www/bbva-uat/classes/controller/AdminController.php","line":564} 
[2024-05-27 12:26:34] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php:L75} :: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls :: Ctx:{"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"/var/www/bbva-uat/tools/smarty/sysplugins/smarty_internal_compilebase.php","line":75} 
[2024-05-27 12:26:34] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L906} :: E_DEPRECATED: Function create_function() is deprecated :: Ctx:{"code":8192,"message":"Function create_function() is deprecated","file":"/var/www/bbva-uat/classes/Tools.php","line":2117} 
[2024-05-27 12:26:34] NOTICE (traceId:|customerId:) {/var/www/bbva-uat/classes/controller/AdminController.php:L910} :: E_DEPRECATED: Function create_function() is deprecated :: Ctx:{"code":8192,"message":"Function create_function() is deprecated","file":"/var/www/bbva-uat/classes/Tools.php","line":2117} 
